Cost Rank,Product Name,Product Life Cycle,Your Forecast FY25 Q2,Fiscal_Quarter,Actual_Units,Quarter_Order
1,SWITCH Enterprise High-1 ,Sustaining,,FY22 Q2,57147.0,1
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY22 Q2,222.0,1
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY22 Q2,24362.0,1
4,SWITCH Enterprise Low,Sustaining,,FY22 Q2,,1
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY22 Q2,208760.0,1
6,POWER SUPPLY High,Sustaining,,FY22 Q2,204604.0,1
7,TRANSCEIVER MODULE High,Sustaining,,FY22 Q2,19790.0,1
8,ACCESS POINT Mid,Sustaining,,FY22 Q2,,1
9,POWER SUPPLY Mid,Sustaining,,FY22 Q2,191286.0,1
10,SERVER ,Sustaining,,FY22 Q2,,1
11,PROCESSOR ,Sustaining,,FY22 Q2,,1
12,SWITCH Data Center High,Sustaining,,FY22 Q2,1263.0,1
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY22 Q2,,1
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY22 Q2,2057.0,1
15,MEMORY ,Decline,,FY22 Q2,58911.0,1
16,ROUTER Enterprise Mid-2,Sustaining,,FY22 Q2,2349.0,1
17,SWITCH Data Center Mid-1,Sustaining,,FY22 Q2,4593.0,1
18,ROUTER Enterprise Low ,Decline,,FY22 Q2,13153.0,1
19,SWITCH Data Center Mid-2,Sustaining,,FY22 Q2,6629.0,1
20,SWITCH Enterprise High-2 ,NPI,,FY22 Q2,,1
1,SWITCH Enterprise High-1 ,Sustaining,,FY22 Q3,52873.0,2
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY22 Q3,1549.0,2
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY22 Q3,21308.0,2
4,SWITCH Enterprise Low,Sustaining,,FY22 Q3,,2
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY22 Q3,116126.0,2
6,POWER SUPPLY High,Sustaining,,FY22 Q3,194538.0,2
7,TRANSCEIVER MODULE High,Sustaining,,FY22 Q3,2476.0,2
8,ACCESS POINT Mid,Sustaining,,FY22 Q3,,2
9,POWER SUPPLY Mid,Sustaining,,FY22 Q3,228892.0,2
10,SERVER ,Sustaining,,FY22 Q3,,2
11,PROCESSOR ,Sustaining,,FY22 Q3,,2
12,SWITCH Data Center High,Sustaining,,FY22 Q3,1314.0,2
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY22 Q3,,2
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY22 Q3,4266.0,2
15,MEMORY ,Decline,,FY22 Q3,69308.0,2
16,ROUTER Enterprise Mid-2,Sustaining,,FY22 Q3,2359.0,2
17,SWITCH Data Center Mid-1,Sustaining,,FY22 Q3,6513.0,2
18,ROUTER Enterprise Low ,Decline,,FY22 Q3,15149.0,2
19,SWITCH Data Center Mid-2,Sustaining,,FY22 Q3,4275.0,2
20,SWITCH Enterprise High-2 ,NPI,,FY22 Q3,,2
1,SWITCH Enterprise High-1 ,Sustaining,,FY22 Q4,52870.0,3
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY22 Q4,4619.0,3
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY22 Q4,19067.0,3
4,SWITCH Enterprise Low,Sustaining,,FY22 Q4,1227.0,3
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY22 Q4,150803.0,3
6,POWER SUPPLY High,Sustaining,,FY22 Q4,185160.0,3
7,TRANSCEIVER MODULE High,Sustaining,,FY22 Q4,3149.0,3
8,ACCESS POINT Mid,Sustaining,,FY22 Q4,13260.0,3
9,POWER SUPPLY Mid,Sustaining,,FY22 Q4,197489.0,3
10,SERVER ,Sustaining,,FY22 Q4,,3
11,PROCESSOR ,Sustaining,,FY22 Q4,,3
12,SWITCH Data Center High,Sustaining,,FY22 Q4,843.0,3
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY22 Q4,1688.0,3
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY22 Q4,11650.0,3
15,MEMORY ,Decline,,FY22 Q4,107690.0,3
16,ROUTER Enterprise Mid-2,Sustaining,,FY22 Q4,2861.0,3
17,SWITCH Data Center Mid-1,Sustaining,,FY22 Q4,3093.0,3
18,ROUTER Enterprise Low ,Decline,,FY22 Q4,17700.0,3
19,SWITCH Data Center Mid-2,Sustaining,,FY22 Q4,2981.0,3
20,SWITCH Enterprise High-2 ,NPI,,FY22 Q4,,3
1,SWITCH Enterprise High-1 ,Sustaining,,FY23 Q1,38833.0,4
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY23 Q1,4764.0,4
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY23 Q1,14551.0,4
4,SWITCH Enterprise Low,Sustaining,,FY23 Q1,24186.0,4
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY23 Q1,82163.0,4
6,POWER SUPPLY High,Sustaining,,FY23 Q1,147284.0,4
7,TRANSCEIVER MODULE High,Sustaining,,FY23 Q1,6367.0,4
8,ACCESS POINT Mid,Sustaining,,FY23 Q1,21667.0,4
9,POWER SUPPLY Mid,Sustaining,,FY23 Q1,138040.0,4
10,SERVER ,Sustaining,,FY23 Q1,,4
11,PROCESSOR ,Sustaining,,FY23 Q1,,4
12,SWITCH Data Center High,Sustaining,,FY23 Q1,974.0,4
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY23 Q1,531.0,4
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY23 Q1,7218.0,4
15,MEMORY ,Decline,,FY23 Q1,70616.0,4
16,ROUTER Enterprise Mid-2,Sustaining,,FY23 Q1,2655.0,4
17,SWITCH Data Center Mid-1,Sustaining,,FY23 Q1,2531.0,4
18,ROUTER Enterprise Low ,Decline,,FY23 Q1,10373.0,4
19,SWITCH Data Center Mid-2,Sustaining,,FY23 Q1,2956.0,4
20,SWITCH Enterprise High-2 ,NPI,,FY23 Q1,,4
1,SWITCH Enterprise High-1 ,Sustaining,,FY23 Q2,27114.0,5
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY23 Q2,5015.0,5
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY23 Q2,13271.0,5
4,SWITCH Enterprise Low,Sustaining,,FY23 Q2,7680.0,5
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY23 Q2,82408.0,5
6,POWER SUPPLY High,Sustaining,,FY23 Q2,136997.0,5
7,TRANSCEIVER MODULE High,Sustaining,,FY23 Q2,2287.0,5
8,ACCESS POINT Mid,Sustaining,,FY23 Q2,30498.0,5
9,POWER SUPPLY Mid,Sustaining,,FY23 Q2,116870.0,5
10,SERVER ,Sustaining,,FY23 Q2,,5
11,PROCESSOR ,Sustaining,,FY23 Q2,,5
12,SWITCH Data Center High,Sustaining,,FY23 Q2,753.0,5
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY23 Q2,6487.0,5
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY23 Q2,6969.0,5
15,MEMORY ,Decline,,FY23 Q2,68431.0,5
16,ROUTER Enterprise Mid-2,Sustaining,,FY23 Q2,3497.0,5
17,SWITCH Data Center Mid-1,Sustaining,,FY23 Q2,2182.0,5
18,ROUTER Enterprise Low ,Decline,,FY23 Q2,15770.0,5
19,SWITCH Data Center Mid-2,Sustaining,,FY23 Q2,1987.0,5
20,SWITCH Enterprise High-2 ,NPI,,FY23 Q2,6.0,5
1,SWITCH Enterprise High-1 ,Sustaining,,FY23 Q3,21823.0,6
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY23 Q3,6656.0,6
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY23 Q3,10165.0,6
4,SWITCH Enterprise Low,Sustaining,,FY23 Q3,16772.0,6
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY23 Q3,67132.0,6
6,POWER SUPPLY High,Sustaining,,FY23 Q3,100623.0,6
7,TRANSCEIVER MODULE High,Sustaining,,FY23 Q3,11281.0,6
8,ACCESS POINT Mid,Sustaining,,FY23 Q3,40505.0,6
9,POWER SUPPLY Mid,Sustaining,,FY23 Q3,96797.0,6
