Cost Rank,Product Name,Product Life Cycle,Your Forecast FY25 Q2,Fiscal_Quarter,Actual_Units,Quarter_Order,Lag_1,MA_3
1,SWITCH Enterprise High-1 ,Sustaining,,FY22 Q2,57147.0,1,,57147.0
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY22 Q2,222.0,1,,222.0
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY22 Q2,24362.0,1,,24362.0
4,SWITCH Enterprise Low,Sustaining,,FY22 Q2,,1,,
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY22 Q2,208760.0,1,,208760.0
6,POWER SUPPLY High,Sustaining,,FY22 Q2,204604.0,1,,204604.0
7,TRANSCEIVER MODULE High,Sustaining,,FY22 Q2,19790.0,1,,19790.0
8,ACCESS POINT Mid,Sustaining,,FY22 Q2,,1,,
9,POWER SUPPLY Mid,Sustaining,,FY22 Q2,191286.0,1,,191286.0
10,SERVER ,Sustaining,,FY22 Q2,,1,,
11,PROCESSOR ,Sustaining,,FY22 Q2,,1,,
12,SWITCH Data Center High,Sustaining,,FY22 Q2,1263.0,1,,1263.0
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY22 Q2,,1,,
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY22 Q2,2057.0,1,,2057.0
15,MEMORY ,Decline,,FY22 Q2,58911.0,1,,58911.0
16,ROUTER Enterprise Mid-2,Sustaining,,FY22 Q2,2349.0,1,,2349.0
17,SWITCH Data Center Mid-1,Sustaining,,FY22 Q2,4593.0,1,,4593.0
18,ROUTER Enterprise Low ,Decline,,FY22 Q2,13153.0,1,,13153.0
19,SWITCH Data Center Mid-2,Sustaining,,FY22 Q2,6629.0,1,,6629.0
20,SWITCH Enterprise High-2 ,NPI,,FY22 Q2,,1,,
1,SWITCH Enterprise High-1 ,Sustaining,,FY22 Q3,52873.0,2,57147.0,55010.0
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY22 Q3,1549.0,2,222.0,885.5
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY22 Q3,21308.0,2,24362.0,22835.0
4,SWITCH Enterprise Low,Sustaining,,FY22 Q3,,2,,
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY22 Q3,116126.0,2,208760.0,162443.0
6,POWER SUPPLY High,Sustaining,,FY22 Q3,194538.0,2,204604.0,199571.0
7,TRANSCEIVER MODULE High,Sustaining,,FY22 Q3,2476.0,2,19790.0,11133.0
8,ACCESS POINT Mid,Sustaining,,FY22 Q3,,2,,
9,POWER SUPPLY Mid,Sustaining,,FY22 Q3,228892.0,2,191286.0,210089.0
10,SERVER ,Sustaining,,FY22 Q3,,2,,
11,PROCESSOR ,Sustaining,,FY22 Q3,,2,,
12,SWITCH Data Center High,Sustaining,,FY22 Q3,1314.0,2,1263.0,1288.5
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY22 Q3,,2,,
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY22 Q3,4266.0,2,2057.0,3161.5
15,MEMORY ,Decline,,FY22 Q3,69308.0,2,58911.0,64109.5
16,ROUTER Enterprise Mid-2,Sustaining,,FY22 Q3,2359.0,2,2349.0,2354.0
17,SWITCH Data Center Mid-1,Sustaining,,FY22 Q3,6513.0,2,4593.0,5553.0
18,ROUTER Enterprise Low ,Decline,,FY22 Q3,15149.0,2,13153.0,14151.0
19,SWITCH Data Center Mid-2,Sustaining,,FY22 Q3,4275.0,2,6629.0,5452.0
20,SWITCH Enterprise High-2 ,NPI,,FY22 Q3,,2,,
1,SWITCH Enterprise High-1 ,Sustaining,,FY22 Q4,52870.0,3,52873.0,54296.666666666664
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY22 Q4,4619.0,3,1549.0,2130.0
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY22 Q4,19067.0,3,21308.0,21579.0
4,SWITCH Enterprise Low,Sustaining,,FY22 Q4,1227.0,3,,1227.0
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY22 Q4,150803.0,3,116126.0,158563.0
6,POWER SUPPLY High,Sustaining,,FY22 Q4,185160.0,3,194538.0,194767.33333333334
7,TRANSCEIVER MODULE High,Sustaining,,FY22 Q4,3149.0,3,2476.0,8471.666666666666
8,ACCESS POINT Mid,Sustaining,,FY22 Q4,13260.0,3,,13260.0
9,POWER SUPPLY Mid,Sustaining,,FY22 Q4,197489.0,3,228892.0,205889.0
10,SERVER ,Sustaining,,FY22 Q4,,3,,
11,PROCESSOR ,Sustaining,,FY22 Q4,,3,,
12,SWITCH Data Center High,Sustaining,,FY22 Q4,843.0,3,1314.0,1140.0
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY22 Q4,1688.0,3,,1688.0
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY22 Q4,11650.0,3,4266.0,5991.0
15,MEMORY ,Decline,,FY22 Q4,107690.0,3,69308.0,78636.33333333333
16,ROUTER Enterprise Mid-2,Sustaining,,FY22 Q4,2861.0,3,2359.0,2523.0
17,SWITCH Data Center Mid-1,Sustaining,,FY22 Q4,3093.0,3,6513.0,4733.0
18,ROUTER Enterprise Low ,Decline,,FY22 Q4,17700.0,3,15149.0,15334.0
19,SWITCH Data Center Mid-2,Sustaining,,FY22 Q4,2981.0,3,4275.0,4628.333333333333
20,SWITCH Enterprise High-2 ,NPI,,FY22 Q4,,3,,
1,SWITCH Enterprise High-1 ,Sustaining,,FY23 Q1,38833.0,4,52870.0,48192.0
